time(seconds),ratings(-100.100)
0.9055238090000001,1
0.963555555,2
1.1376507930000002,3
1.3349841260000002,2
1.4045714280000001,1
1.485841269,0
2.356444444,1
2.426031746,2
2.6350476190000003,3
2.797460317,4
3.122539682,5
3.5170793650000003,4
3.656380952,3
3.7956825390000004,2
3.9582222220000003,1
4.062730158,0
4.259936507,-1
4.364444444,-2
4.4572698410000005,-3
4.619809523000001,-4
4.840380952,-5
5.008380952,-4
5.008380952,-3
5.008380952,-2
5.008380952,-1
5.008380952,0
